"x"
"반체제nc"
"반국가nc"
"파업nc"
"반항nc"
"저항nc"
"반란nc"
"반도nc"
"반대nc"
"이의nc"
"반발nc"
"알력nc"
"갈등nc"
"전복nc"
"파괴nc"
"무례nc"
"실례nc"
"경멸nc"
"실례nc"
"불복nc"
"불복종nc"
"불법nc"
"폭동nc"
"선동nc"
"난동nc"
"뒤흔들pv"
"불안nc"
"요구nc"
"불법nc"
"비합법nc"
"반칙nc"
"금지nc"
"무법nc"
"반란nc"
"모반nc"
"반체제nc"
"반국가nc"
"폭동nc"
"불온nc"
"불충nc"
"불성실nc"
"부정nc"
"부정nc"
"이간nc"
"이간질nc"
"이간nc"
"불순응nc"
"불순nc"
"대항nc"
"방해nc"
"저지nc"
"시위nc"
"군중nc"
"소요nc"
"거부nc"
"비난nc"
"항의nc"
"소동nc"
"가로막pv"
"장애물nc"
"배반nc"
"배신nc"
"누설nc"
"저버리pv"
"반역nc"
"불신nc"
"불충nc"
"역적nc"
"반역자nc"
"유기nc"
"탈선nc"
"도망nc"
"도망자nc"
"탈영nc"
"변절nc"
"탈당nc"
"배교nc"
"변절자nc"
"탈당자nc"
"배신자nc"
"북한nc"
"종북nc"
"이적nc"
"매국nc"
"매국노nc"
"팔아먹nc"
"파탄nc"
