"x"
"피해nc"
"손해nc"
"위하pv"
"손상nc"
"해치pv"
"고생nc"
"견디pv"
"겪pv"
"참pv"
"싸움nc"
"상처nc"
"싸우pv"
"폭력nc"
"폭행nc"
"난폭nc"
"격렬nc"
"맹렬nc"
"다치pv"
"손상nc"
"아프nc"
"아픔nc"
"죽이pv"
"죽음nc"
"살인nc"
"살해nc"
"망치nc"
"적대nc"
"위험nc"
"위태nc"
"잔혹nc"
"잔인nc"
"무자비nc"
"무정nc"
"비참nc"
"비통nc"
"무지막지nc"
"남용nc"
"학대nc"
"훼손nc"
"악영향nc"
"폐허nc"
"파괴nc"
"참혹nc"
"상해nc"
"손실nc"
"해롭nc"
"공격nc"
"침범nc"
"습격nc"
"전멸nc"
"박멸nc"
"버리pv"
"경멸nc"
"남용nc"
"쫓pv"
"퇴짜nc"
"감소nc"
"줄nb"
"줄pv"
"줄었nc"
"약화nc"
"약해nc"
"착취nc"
"부상nc"
"상해nc"
"끔찍한nc"
"고통nc"
