"x"
"경건nc"
"신앙nc"
"신앙심nc"
"효심nc"
"독실nc"
"독실함nc"
"충실nc"
"충실함nc"
"효성nc"
"효심nc"
"맑음nc"
"맑pa"
"청결nc"
"청nc"
"청렴nc"
"결백nc"
"순수nc"
"순수함nc"
"깨끗함nc"
"깨끗nc"
"정화nc"
"결백nc"
"결백함nc"
"순결함nc"
"순결nc"
"말끔nc"
"말끔함nc"
"청결nc"
"청결함nc"
"성스럽pa"
"성nc"
"독실nc"
"독실함nc"
"소독nc"
"신성nc"
"종교nc"
"순결nc"
"순결함nc"
"신성함nc"
"담백함nc"
"담백nc"
"소박함nc"
"소박nc"
"거룩함nc"
"거룩nc"
"봉헌nc"
"고결함nc"
"고결nc"
"청렴nc"
"청렴함nc"
"성자nc"
"천국nc"
"거룩nc"
"거룩함nc"
"건전nc"
"건전함nc"
"유익nc"
"유익함nc"
"금욕nc"
"금욕적nc"
"독신nc"
"청빈nc"
"절제nc"
"자제nc"
"절약nc"
"근검nc"
"엄격nc"
"처녀nc"
"미혼nc"
"무구nc"
"순결nc"
"엄격nc"
"엄격함nc"
"엄숙nc"
"엄숙함nc"
"간소nc"
"간소함nc"
"완전함nc"
"겸손nc"
"겸손함nc"
"수줍음nc"
"얌전함nc"
"얌전nc"
"검소nc"
"검소함nc"
"똑바르pa"
"똑바르pa"
"올바르pa"
"소녀nc"
"처녀nc"
"고결함nc"
"고결nc"
"정숙nc"
"정숙함nc"
"세련nc"
"맑pa"
"품위nc"
"방정nc"
"품행nc"
"천진난만nc"
"순진nc"
"결백nc"
"원초nc"
"청nc"
"소박nc"
"교회nc"
"성당nc"
"예배nc"
"목사nc"
"미사nc"
