"x"
"싫pa"
"혐오nc"
"혐오감nc"
"역겹pa"
"역겹pa"
"질색nc"
"부패nc"
"타락nc"
"사악nc"
"사악함nc"
"질병nc"
"병들pv"
"질환nc"
"병폐nc"
"불건전nc"
"불결nc"
"불결함nc"
"더럽pa"
"불결nc"
"불결함nc"
"더러움nc"
"불순nc"
"음탕함nc"
"음탕nc"
"전염nc"
"감염nc"
"전염병nc"
"무례nc"
"외설nc"
"외설적nc"
"성추행nc"
"매춘nc"
"죄ma"
"죄악nc"
"잘못ma"
"죄인nc"
"위반nc"
"이단nc"
"이교nc"
"음탕nc"
"문란nc"
"쓰레기nc"
"불경nc"
"무례nc"
"불손nc"
"사악nc"
"세속nc"
"천하nc"
"병들pv"
"병nb"
"난잡nc"
"음탕nc"
"음란nc"
"비천nc"
"타락nc"
"유혹nc"
"불순nc"
"불량nc"
"방탕nc"
"모독nc"
"행실nc"
"상스럽pa"
"험악nc"
"방종nc"
"방자nc"
"무엄nc"
"낭비nc"
"난봉nc"
"오물nc"
"쓸모nc"
"폐물nc"
"폐족nc"
"범하pv"
"흠집nc"
"느슨nc"
"태만nc"
"오점nc"
"얼룩nc"
"변색nc"
"변질nc"
"떨어트nc"
"훼손nc"
"모독nc"
"사악nc"
"부도덕nc"
"결점nc"
"오용nc"
"그르치pv"
"비참nc"
"야비nc"
"비리nc"
"욕설nc"
