"x"
"외국nc"
"외부nc"
"외부자nc"
"이질nc"
"이질적인nc"
"이질성nc"
"해외nc"
"적대nc"
"적nc"
"개인주의nc"
"개인nc"
"개개nc"
"개별nc"
"배반nc"
"배신nc"
"누설nc"
"저버리다pv"
"반역nc"
"불신nc"
"불충nc"
"역적nc"
"반역자nc"
"유기nc"
"탈선nc"
"도망nc"
"도망자nc"
"탈영nc"
"변절nc"
"탈당nc"
"배교nc"
"변절자nc"
"탈당자nc"
"배신자nc"
"북한nc"
"종북nc"
"이적nc"
"매국nc"
"매국노nc"
"팔아먹다nc"
"기만nc"
"비겁nc"
"이상한nc"
"이상nc"
"개성nc"
"속이다pv"
"속임수nc"
"기만nc"
"버리다pv"
"사칭nc"
"협잡nc"
"사기nc"
"사악nc"
"이단nc"
"악하pa"
"간첩nc"
"스파이nc"
"압수nc"
"격리nc"
"이주nc"
"이민nc"
"외국인nc"
"테러리스트nc"
"테러nc"
"테러리즘nc"
