"있/PA"
"없/PA"
"아니/PA"
"많/PA"
"않/PA"
"같/PA"
"크/PA"
"되/PA"
"좋/PA"
"그렇/PA"
"새롭/PA"
"이렇/PA"
"못하/PA"
"어떻/PA"
"어렵/PA"
"갖/PA"
"싶/PA"
"이러하/PA"
"높/PA"
"쓰/PA"
"다르/PA"
"젊/PA"
"깊/PA"
"인하/PA"
"뜨/PA"
"후보/NC"
"국민/NC"
"대통령/NC"
"이/NC"
"생각/NC"
"대해/NC"
"문제/NC"
"국회/NC"
"의원/NC"
"오늘/NC"
"정부/NC"
"검찰/NC"
"국민들/NC"
"이번/NC"
"말/NC"
"대한민국/NC"
"일/NC"
"때/NC"
"대표/NC"
"앞/NC"
"당/NC"
"말씀/NC"
"정치/NC"
"라/NC"
"선거/NC"
"관련/NC"
"정권/NC"
"대변인/NC"
"정책/NC"
"대선/NC"
"대변인실/NC"
"위원장/NC"
"약속/NC"
"사실/NC"
"노력/NC"
"자리/NC"
"드/NC"
"사건/NC"
"어제/NC"
"책임/NC"
"수사/NC"
"요구/NC"
"주장/NC"
"분/NC"
"하/PV"
"대하/PV"
"위하/PV"
"되/PV"
"만들/PV"
"받/PV"
"밝히/PV"
"지나/PV"
"그리/PV"
"바라/PV"
"점이/NC"
"등이/NC"
"일시/NC"
"저희들/NC"
"관한/NC"
"어떻/NC"
"순간/NC"
"나중/NC"
"어떠하/PA"
"측이/NC"
"그르/PA"
"오전/NC"
"얼마/NC"
"대해/NC"
"대로/NC"
"수도/NC"
"내일/NC"
"현안관련/NC"
"이것이/NC"
"관련해서/NC"
"저희들/NC"
"나아/NC"
"가운데/NC"
"당초/NC"
"해지/NC"
"이외/NC"
"곳곳/NC"
"그간/NC"
"그곳/NC"
"그달/NC"
"그당시/NC"
"그동안/NC"
"그런/NC"
"그런날/NC"
"그러/PV"
"그무렵/NC"
"그전/NC"
"그전날/NC"
"내년초/NC"
"내달/NC"
"내부/NC"
"너와/NC"
"네탓/NC"
"다음달/NC"
"다음주/NC"
"대다수/NC"
"뒷받침/NC"
"마지막/NC"
"마찬가지/NC"
"만원/NC"
"번째/NC"
"어느편/NC"
"어디론지/NC"
"어떤때/NC"
"예년때/NC"
"올해/NC"
"운운/NC"
"움직임/NC"
"위하/PV"
"으뜸/NC"
"이기/NC"
"이날/NC"
"이달/NC"
"이달초/NC"
"이듬/NC"
"이듬달/NC"
"이때/NC"
"이런줄/NC"
"이번/NC"
"이번분/NC"
"저기대/NC"
"저긴/NC"
"저도/NC"
"저런날/NC"
"저런줄/NC"
"저렴/NC"
"저쪽/NC"
"저하/NC"
"적극적/NC"
"전날/NC"
"전년/NC"
"전부문/NC"
"전일/NC"
"전체적/NC"
"절절/NC"
"제나름/NC"
"줄곳/NC"
"중점적/NC"
"지난해/NC"
"천만/NC"
"천명/NC"
"천원/NC"
"첫날/NC"
"크기/NC"
"평상/NC"
"푸르름/NC"
"한가운데/NC"
"한가/NC"
"한곳/NC"
"한마디/NC"
"한쪽/NC"
"하게/NC"
"하기/NC"
"관련/NC"
"이번/NC"
"금일/NC"
"비롯/NC"
"아래/NC"
"오후/NC"
"어제/NC"
"이후/NC"
"동안/NC"
"일정/NC"
"정도/NC"
"불구/NC"
"하시/NC"
"하자/NC"
"당시/NC"
"결과/NC"
"비롯한/NC"
"후보/NC"
"다음/NC"
"하게/NC"
"하기/NC"
"대표님/NC"
"대통령/NC"
"원내대표/NC"
"인사말/NC"
"후보자/NC"
"기자간담회/NC"
"최고위원회/NC"
"권한대행/NC"
"당무위원회의/NC"
"전국청년위원/NC"
"정무수석/NC"
"기호/NC"
"당무위원회의/NC"
"기호번/NC"
"임시지역대의원대회/NC"
"대회의실/NC"
"대의원회의/NC"
"비상대책위원장/NC"
"여러분들/NC"
"오늘/NC"
"관련/NC"
"자리/NC"
"의원/NC"
"의원님/NC"
"생각/NC"
"말씀/NC"
"브리핑/NC"
"중앙/NC"
"선거대책/NC"
"대변인/NC"
"위원회/NC"
"문제/NC"
"대변인실/NC"
"수석/NC"
"대표/NC"
"선거/NC"
"이번/NC"
"이상/NC"
"대선/NC"
"주요내용/NC"
"금일/NC"
"나라/NC"
"캠프/NC"
"비롯/NC"
"이야기/NC"
"원내/NC"
"위원장/NC"
"아래/NC"
"오후/NC"
"최고위원/NC"
"지도/NC"
"얘기/NC"
"수석부대변인/NC"
"내용/NC"
"모습/NC"
"경우/NC"
"황천모/NC"
"과정/NC"
"어제/NC"
"이후/NC"
"동안/NC"
"일정/NC"
"정도/NC"
"이유/NC"
"대표최고위원/NC"
"의미/NC"
"불구/NC"
"하시/NC"
"부대변인/NC"
"하자/NC"
"당의/NC"
"확인/NC"
"당시/NC"
"필요/NC"
"부분/NC"
"결과/NC"
"입장/NC"
"발표/NC"
"국회의원/NC"
"시장/NC"
"수행부단장/NC"
"비상대책위/NC"
"비대위/NC"
"비대/NC"
"위원/NC"
"원회/NC"
"굴림/NC"
"최고위원회의/NC"
"대통령후보자/NC"
"당선인/NC"
"대통/NC"
"서면/NC"
"제차/NC"
"정성호/NC"
"추가/NC"
"제대/NC"
"김현/NC"
"단장/NC"
"진선미/NC"
"중앙선거대책위원회/NC"
"회장/NC"
"진영/NC"
"일정관련/NC"
"후보들/NC"
"후보님/NC"
"대통령후보/NC"
"중앙선거대책위원장/NC"
"인사/NC"
"유세/NC"
"서면브리핑/NC"
"원내수석부대표/NC"
"비상대책위원회/NC"
"비례대표/NC"
"위원장님/NC"
"수행단장/NC"
"당협위원장/NC"
"연합회장/NC"
"직능특위/NC"
"공동선대위원장/NC"
"중앙선대위/NC"
"부위원장/NC"
"회의실층/NC"
"정책위의장/NC"
"박선규/NC"
"사무총장/NC"
"비서실장/NC"
"지도부/NC"
"사무총장/NC"
"의원님들/NC"
"비대위원/NC"
"전국위원회/NC"
"지회장/NC"
"공동대표/NC"
"국민/NC"
"국민들/NC"
"김수한/NC"
"비대위원장/NC"
"의원들/NC"
"의원/NC"
"아름차/PA"
"사실/NC"
"가다듬/NC"
"비치/NC"
"때우/NC"
"때우/NC"
"가로놓/NC"
"별다르/NC"
"어이없/NC"
"벌이/NC"
"빗대/PV"
"위하/PV"
"대하/NC"
"전하/NC"
"이르/PA"
"대하/NC"
"이렇/NC"
"치르/NC"
"기다리/NC"
"다가/NC"
"밝히/NC"
"그렇/NC"
"모르/NC"
"챙기/NC"
"쓰/PA"
"말씀드/NC"
"인사말씀/NC"
"수가/NC"
"통하/PV"
"황창화/NC"
