"","Harm","Fairness","Ingroup","Authority","Purity"
"Saenuri",-0.0660517877387836,-0.0597265483495024,-0.0963879016697862,-0.215588239692019,0.0914803851668939
"Minjoo",0.0392666541955771,0.151686098286218,0.165106813328306,-0.066163734669437,0.0989154877288182
"Cleavage",0.0899500969108655,0.170633461854871,0.214123091745097,0.144228258250388,-0.00675154175035786
