"","Harm","Fairness","Ingroup","Authority","Purity"
"Saenuri",-0.0679011754871357,-0.164276321245127,-0.198783731102751,-0.140789607056797,-0.0887832379694962
"Minjoo",0.0994470190928481,0.0350941904550464,0.0705516670010414,-0.0141980781805,-0.0243213402187124
"Cleavage",0.126168660377605,0.134922114003714,0.186541286697211,0.0789365865923648,0.0370410120694726
