"x"
"불공평/NC"
"부당/NC"
"교활/NC"
"편견/NC"
"선입견/NC"
"편견/NC"
"편향/NC"
"고집/NC"
"아집/NC"
"불통/NC"
"차별/NC"
"불균형/NC"
"불균등/NC"
"불공정/NC"
"불평등/NC"
"코드/NC"
"사악/NC"
"비도덕/NC"
"파렴치/NC"
"부정직/NC"
"사기/NC"
"불성실/NC"
"편애/NC"
"편중/NC"
"고집/NC"
"편협/NC"
"편파/NC"
"정실/NC"
"눈속임/NC"
"나쁘/PA"
"배제/NC"
"제외/NC"
"분리/NC"
"떼/PV"
"배제/NC"
"추방/NC"
"제외/NC"
"격리/NC"
"비리/NC"
"낙하산/NC"
"탈루/NC"
"투기/NC"
