"x"
"반체제/NC"
"반국가/NC"
"파업/NC"
"반항/NC"
"도전/NC"
"저항/NC"
"반란/NC"
"역도/NC"
"이견/NC"
"이의/NC"
"논쟁/NC"
"반발/NC"
"알력/NC"
"갈등/NC"
"전복/NC"
"뒤엎/PV"
"파괴/NC"
"무례/NC"
"결례/NC"
"실례/NC"
"경멸/NC"
"위반/NC"
"실례/NC"
"불복/NC"
"불복종/NC"
"불법/NC"
"폭동/NC"
"선동/NC"
"난동/NC"
"동요/NC"
"뒤흔들/PV"
"불안/NC"
"운동권/NC"
"요구/NC"
"불법/NC"
"비합법/NC"
"반칙/NC"
"금지/NC"
"무법/NC"
"반란/NC"
"모반/NC"
"반체제/NC"
"반국가/NC"
"폭동/NC"
"불온/NC"
"불충/NC"
"불성실/NC"
"부정/NC"
"부정/NC"
"이간/NC"
"이간질/NC"
"이간/NC"
"불순응/NC"
"불순/NC"
"대항/NC"
"방해/NC"
"저지/NC"
"시위/NC"
"군중/NC"
"소요/NC"
"거부/NC"
"비난/NC"
"항의/NC"
"소동/NC"
"가로막/PV"
"장애물/NC"
"배반/NC"
"배신/NC"
"누설/NC"
"저버리/PV"
"반역/NC"
"불신/NC"
"불충/NC"
"역적/NC"
"반역자/NC"
"유기/NC"
"탈선/NC"
"도망/NC"
"도망자/NC"
"탈영/NC"
"변절/NC"
"방해/NC"
"탈당/NC"
"배교/NC"
"탄핵/NC"
"변절자/NC"
"탈당자/NC"
"배신자/NC"
"북한/NC"
"거부/NC"
"거절/NC"
"종북/NC"
"이적/NC"
"매국/NC"
"항의/NC"
"매국노/NC"
"팔아먹/NC"
"파탄/NC"
