"x"
"타당/NC"
"공정/NC"
"온당/NC"
"공평/NC"
"공명정대/NC"
"적당/NC"
"공정성/NC"
"페어플레이/NC"
"적정/NC"
"올바르/NC"
"옳/PA"
"올바르/PA"
"정중/NC"
"좋/PA"
"좋/PA"
"평등/NC"
"동등/NC"
"균등/NC"
"정당/NC"
"정의/NC"
"정의로운/NC"
"공정/NC"
"정정당당/NC"
"응보/NC"
"옳/PA"
"상호/MA"
"부조/NC"
"보답/NC"
"호혜/NC"
"상생/NC"
"바르/PA"
"바르/NC"
"권리/NC"
"형평/NC"
"옳/PA"
"형평성/NC"
"동일/NC"
"등가/NC"
"동등/NC"
"관대/NC"
"관용/NC"
"아량/NC"
"균형/NC"
"일치/NC"
"온당/NC"
"지속/NC"
"일정/NC"
"정직/NC"
"솔직/NC"
"나누/NC"
"분권/NC"
"지속적/NC"
