"x"
"싫/PA"
"혐오/NC"
"혐오감/NC"
"역겹/PA"
"역겹/PA"
"질색/NC"
"악화/NC"
"부패/NC"
"타락/NC"
"사악/NC"
"사악함/NC"
"질병/NC"
"병들/PV"
"질환/NC"
"병폐/NC"
"불건전/NC"
"불결/NC"
"불결함/NC"
"더럽/PA"
"불결/NC"
"불결함/NC"
"더러움/NC"
"추잡/NC"
"불순/NC"
"음탕함/NC"
"추행/NC"
"음탕/NC"
"전염/NC"
"감염/NC"
"전염병/NC"
"무례/NC"
"외설/NC"
"외설적/NC"
"성추행/NC"
"매춘/NC"
"죄/MA"
"죄악/NC"
"잘못/MA"
"죄인/NC"
"위반/NC"
"이단/NC"
"이교/NC"
"음탕/NC"
"문란/NC"
"쓰레기/NC"
"불경/NC"
"불손/NC"
"사악/NC"
"세속/NC"
"천/NN"
"모독/NC"
"병들/PV"
"병/NB"
"난잡/NC"
"음탕/NC"
"음란/NC"
"비천/NC"
"타락/NC"
"유혹/NC"
"불순/NC"
"오만방자/NC"
"오만방자하/NC"
"불량/NC"
"방탕/NC"
"모독/NC"
"행실/NC"
"상스럽/PA"
"불륜/NC"
"험악/NC"
"방종/NC"
"방자/NC"
"무엄/NC"
"낭비/NC"
"난봉/NC"
"오물/NC"
"쓸모/NC"
"폐물/NC"
"폐족/NC"
"범하/PV"
"흠집/NC"
"느슨/NC"
"태만/NC"
"오점/NC"
"얼룩/NC"
"변색/NC"
"변질/NC"
"떨어트/NC"
"무절제/NC"
"무분별/NC"
"훼손/NC"
"모독/NC"
"사악/NC"
"부도덕/NC"
"결점/NC"
"오용/NC"
"그르치/PV"
"비참/NC"
"야비/NC"
"비리/NC"
"욕설/NC"
