"x"
"복종nc"
"준수nc"
"순종nc"
"좇다pv"
"의무nc"
"본분nc"
"직무nc"
"의리nc"
"법규nc"
"합법nc"
"합법적nc"
"충실nc"
"예의nc"
"영예nc"
"명예nc"
"존경nc"
"신의nc"
"존중nc"
"경의nc"
"공손nc"
"정중nc"
"순서nc"
"차례nb"
"정돈nc"
"명령nc"
"질서nc"
"아버지nc"
"부친nc"
"가부장nc"
"부성애nc"
"뿌리nc"
"어머니nc"
"모친nc"
"모성애nc"
"전통nc"
"관례nc"
"위계nc"
"계층nc"
"권위nc"
"권한nc"
"허가nc"
"허용nc"
"인가nc"
"허용nc"
"용인nc"
"승인nc"
"지위nc"
"본연nc"
"위신nc"
"지위nc"
"위신nc"
"예우nc"
"지도층nc"
"위치nc"
"지도하다nc"
"지도자nc"
"지도적nc"
"지도부nc"
"지도nc"
"리더nc"
"선도nc"
"귀족nc"
"고분고분하다pa"
"고분고분한nc"
"순응nc"
"지휘nc"
"지배nc"
"지고nc"
"항복nc"
"굴복nc"
"유순nc"
"충성nc"
"서약nc"
"맹세nc"
"섬기다pv"
"봉사nc"
"숭배nc"
"경외nc"
"추앙nc"
"공경nc"
"응하다pv"
"다하다pv"
"체계nc"
"어르신nc"
"부모nc"
